code,name,cname,lower_name,code_full
USH,Ushuaia,乌斯怀亚,ushuaia,ARG000USH
VDM,Viedma,别德马,viedma,ARG000VDM
VLK,Villa Krause,克劳斯城,villa krause,ARG000VLK
AGT,Aragacotn,阿拉加措特恩,aragacotn,ARM000AGT
ARA,Ararat,阿拉拉特,ararat,ARM000ARA
ARM,Armavir,阿尔马维尔,armavir,ARM000ARM
EVN,Yerevan,埃里温市,yerevan,ARM000EVN
GEG,Gelarkunik,格加尔库尼克,gelarkunik,ARM000GEG
KOT,Kotayk,科泰克,kotayk,ARM000KOT
LOR,Lorri,洛里,lorri,ARM000LOR
SHI,Shirak,希拉克,shirak,ARM000SHI
SYU,Syunik,休尼克,syunik,ARM000SYU
TAV,Tavus,塔武什,tavus,ARM000TAV
VAY,VayocJor,瓦约茨·佐尔,vayocjor,ARM000VAY
AAN,Aana,阿纳,aana,ASM000AAN
AIT,Aigaile Tai,艾加伊勒泰,aigaile tai,ASM000AIT
ATU,Atua,阿图阿,atua,ASM000ATU
FAA,Faasaleleaga,法塞莱莱阿加,faasaleleaga,ASM000FAA
GFG,Gagaifomauga,加盖福毛加,gagaifomauga,ASM000GFG
GMG,Gagaemauga,加加埃毛加,gagaemauga,ASM000GMG
PAL,Palauli,帕劳利,palauli,ASM000PAL
SAT,Satupaitea,萨图帕伊泰阿,satupaitea,ASM000SAT
SAV,Savaii,萨瓦伊岛,savaii,ASM000SAV
TUA,Tuamasaga,图阿马萨加,tuamasaga,ASM000TUA
UPO,Upolu,乌波卢岛,upolu,ASM000UPO
VAF,Vaao Fonoti,瓦奥福诺蒂,vaao fonoti,ASM000VAF
VAI,Vaisigano,韦西加诺,vaisigano,ASM000VAI
DRW,Darwin,达尔文,darwin,AUS0NTDRW
PAL,Palmerston North,北帕默斯顿,palmerston north,AUS0NTPAL
ADL,Adelaide,阿德莱德,adelaide,AUS0SAADL
MGB,Mount Gambier,甘比亚山,mount gambier,AUS0SAMGB
MYB,Murray Bridge,默里布里奇,murray bridge,AUS0SAMYB
PLO,Port Lincoln,林肯港,port lincoln,AUS0SAPLO
PPI,Port Pirie,皮里港,port pirie,AUS0SAPPI
PUG,Port Augusta,奥古斯塔港,port augusta,AUS0SAPUG
VHA,Victor Harbor,维克托港,victor harbor,AUS0SAVHA
WAY,Whyalla,怀阿拉,whyalla,AUS0SAWAY
ALH,Albany,奥尔巴尼,albany,AUS0WAALH
BUY,Bunbury,班伯里,bunbury,AUS0WABUY
FRE,Fremantle,弗里曼特尔港,fremantle,AUS0WAFRE
GET,Geraldton,杰拉尔顿,geraldton,AUS0WAGET
KGI,Kalgoorlie,卡尔古利,kalgoorlie,AUS0WAKGI
MDU,Mandurah,曼哲拉,mandurah,AUS0WAMDU
PER,Perth,珀斯,perth,AUS0WAPER
CBR,Canberra,堪培拉,canberra,AUSACTCBR
HBS,Sydney,悉尼,sydney,AUSNSWHBS
NTL,Newcastle,纽卡斯尔,newcastle,AUSNSWNTL
WOL,Wollongong,伍伦贡,wollongong,AUSNSWWOL
BNE,Brisbane,布里斯班,brisbane,AUSQLDBNE
CNS,Cairns,凯恩斯,cairns,AUSQLDCNS
CUD,Caloundra,日光海岸,caloundra,AUSQLDCUD
OOL,Gold Coast,黄金海岸,gold coast,AUSQLDOOL
TSV,Townsville,汤斯维尔,townsville,AUSQLDTSV
TWB,Toowoomba,图文巴,toowoomba,AUSQLDTWB
BWT,Burnie,伯尼港,burnie,AUSTASBWT
DPO,Devonport,德文波特,devonport,AUSTASDPO
HBA,Hobart,霍巴特,hobart,AUSTASHBA
LST,Launceston,朗塞斯顿,launceston,AUSTASLST
GEX,Geelong,吉朗,geelong,AUSVICGEX
MEL,Melbourne,墨尔本,melbourne,AUSVICMEL
BUR,Burgenland,布尔根兰,burgenland,AUT000BUR
CAT,Carinthia,克恩顿,carinthia,AUT000CAT
LAU,Lower Austria,下奥地利,lower austria,AUT000LAU
STY,Styria,施蒂利亚,styria,AUT000STY
SZG,Salzburg,萨尔茨堡,salzburg,AUT000SZG
TYR,Tyrol,蒂罗尔,tyrol,AUT000TYR
UAU,Upper Austria,上奥地利,upper austria,AUT000UAU
VDD,Vienna,维也纳,vienna,AUT000VDD
VOR,Vorarlberg,福拉尔贝格,vorarlberg,AUT000VOR
GA,Ganca,占贾,ganca,AZE0000GA
NX,Naxcivan,纳希切万,naxcivan,AZE0000NX
SA,Saki,舍基,saki,AZE0000SA
ABS,Abseron,阿布歇隆,abseron,AZE000ABS
KAL,Kalbacar,卡尔巴卡尔,kalbacar,AZE000KAL
LAN,Lankaran,连科兰,lankaran,AZE000LAN
MQA,Mil-Qarabax,密尔-卡拉巴赫,mil-qarabax,AZE000MQA
MSA,Mugan-Salyan,穆甘-萨连,mugan-salyan,AZE000MSA
NQA,Nagorni-Qarabax,纳戈尔诺－卡拉巴赫,nagorni-qarabax,AZE000NQA
PRI,Priaraks,普利亚拉克斯,priaraks,AZE000PRI
QAZ,Qazax,卡扎赫,qazax,AZE000QAZ
SIR,Sirvan,锡尔万,sirvan,AZE000SIR
SMC,Sumqayit,苏姆盖特,sumqayit,AZE000SMC
XAC,Xacmaz,哈奇马斯,xacmaz,AZE000XAC
BB,Bubanza,布班扎,bubanza,BDI0000BB
BM,Bujumbura Mairie,布琼布拉城市,bujumbura mairie,BDI0000BM
BR,Bururi,布鲁里,bururi,BDI0000BR
BU,Bujumbura Rural,布琼布拉乡村,bujumbura rural,BDI0000BU
CA,Cankuzo,坎库佐,cankuzo,BDI0000CA
CI,Cibitoke,锡比托凯,cibitoke,BDI0000CI
GI,Gitega,基特加,gitega,BDI0000GI
KI,Kirundo,基龙多,kirundo,BDI0000KI
KR,Karuzi,卡鲁济,karuzi,BDI0000KR
KY,Kayanza,卡扬扎,kayanza,BDI0000KY
MA,Makamba,马坎巴,makamba,BDI0000MA
MU,Muramvya,穆拉姆维亚,muramvya,BDI0000MU
MW,Mwaro,穆瓦洛,mwaro,BDI0000MW
MY,Muyinga,穆因加,muyinga,BDI0000MY
NG,Ngozi,恩戈齐,ngozi,BDI0000NG
RT,Rutana,鲁塔纳,rutana,BDI0000RT
RY,Ruyigi,鲁伊吉,ruyigi,BDI0000RY
BRU,Brussels,布鲁塞尔,brussels,BEL000BRU
VAN,Antwerpen,安特卫普,antwerpen,BEL000VAN
VBR,Vlaams-Brabant,佛兰芒-布拉班特,vlaams-brabant,BEL000VBR
VLI,Limburg,林堡,limburg,BEL000VLI
VOV,Oost-Vlaanderen,东佛兰德,oost-vlaanderen,BEL000VOV
VWV,West-Vlaanderen,西佛兰德,west-vlaanderen,BEL000VWV
WBR,Brabant-Wallone,布拉班特-瓦隆,brabant-wallone,BEL000WBR
WHT,Hainaut,埃诺,hainaut,BEL000WHT
WLG,Liege,列日,liege,BEL000WLG
WLX,Luxembourg,卢森堡,luxembourg,BEL000WLX
WNA,Namur,那慕尔,namur,BEL000WNA
AK,Atakora,阿塔科拉,atakora,BEN0000AK
AL,Alibori,阿黎博里,alibori,BEN0000AL
AQ,Atlantique,大西洋,atlantique,BEN0000AQ
BO,Borgou,博尔古,borgou,BEN0000BO
CO,Collines,丘陵,collines,BEN0000CO
DO,Donga,峡谷,donga,BEN0000DO
KO,Kouffo,库福,kouffo,BEN0000KO
LI,Littoral,滨海,littoral,BEN0000LI
MO,Mono,莫诺,mono,BEN0000MO
OU,Oueme,韦梅,oueme,BEN0000OU
PL,Plateau,高原,plateau,BEN0000PL
ZO,Zou,祖,zou,BEN0000ZO
BOH,Bohicon,波希康市,bohicon,BEN000BOH
BAL,Bale,巴雷,bale,BFA000BAL
BAM,Bam,巴姆,bam,BFA000BAM
BAN,Banwa,巴瓦,banwa,BFA000BAN
BAZ,Bazega,巴泽加,bazega,BFA000BAZ
BLG,Boulgou,布尔古,boulgou,BFA000BLG
BOK,Boulkiemde,布尔基恩德,boulkiemde,BFA000BOK
BOR,Bougouriba,布古里巴,bougouriba,BFA000BOR
COM,Comoe,科莫埃,comoe,BFA000COM
GAN,Ganzourgou,冈祖尔古,ganzourgou,BFA000GAN
GNA,Gnagna,尼亚尼亚,gnagna,BFA000GNA
GOU,Gourma,古尔马,gourma,BFA000GOU
HOU,Houet,乌埃,houet,BFA000HOU
IOA,Ioba,伊奥巴,ioba,BFA000IOA
KAD,Kadiogo,卡焦戈,kadiogo,BFA000KAD
KEN,Kenedougou,凯内杜古,kenedougou,BFA000KEN
KOL,Koulpelogo,库尔佩罗戈,koulpelogo,BFA000KOL
KOO,Komondjari,科蒙加里,komondjari,BFA000KOO
KOP,Kompienga,孔皮恩加,kompienga,BFA000KOP
KOS,Kossi,孔西,kossi,BFA000KOS
KOT,Kouritenga,库里滕加,kouritenga,BFA000KOT
KOW,Kourweogo,库尔维奥戈,kourweogo,BFA000KOW
LER,Leraba,雷拉巴,leraba,BFA000LER
LOR,Loroum,罗卢姆,loroum,BFA000LOR
MOU,Mouhoun,穆翁,mouhoun,BFA000MOU
NAH,Nahouri,纳乌里,nahouri,BFA000NAH
NAM,Namentenga,纳门滕加,namentenga,BFA000NAM
NAY,Nayala,纳亚拉,nayala,BFA000NAY
NOU,Noumbiel,努姆比埃尔,noumbiel,BFA000NOU
OUB,Oubritenga,乌布里滕加,oubritenga,BFA000OUB
OUD,Oudalan,乌达兰,oudalan,BFA000OUD
PAS,Passore,帕索雷,passore,BFA000PAS
PON,Poni,波尼,poni,BFA000PON
SAG,Sanguie,桑吉,sanguie,BFA000SAG
SAM,Sanmatenga,桑马滕加,sanmatenga,BFA000SAM
SEN,Seno,塞诺,seno,BFA000SEN
SIS,Sissili,锡西里,sissili,BFA000SIS
SOM,Soum,苏姆,soum,BFA000SOM
SOR,Sourou,苏鲁,sourou,BFA000SOR
TAP,Tapoa,塔波阿,tapoa,BFA000TAP
TUY,Tuy,图伊,tuy,BFA000TUY
YAG,Yagha,亚加,yagha,BFA000YAG
YAT,Yatenga,亚滕加,yatenga,BFA000YAT
ZIR,Ziro,济罗,ziro,BFA000ZIR
ZOD,Zondoma,宗多马,zondoma,BFA000ZOD
ZOW,Zoundweogo,宗德韦奥戈,zoundweogo,BFA000ZOW
CGP,Chittagong,吉大港,chittagong,BGD000CGP
DAC,Dhaka,达卡,dhaka,BGD000DAC
KHL,Khulna,库尔纳,khulna,BGD000KHL
BOJ,Burgas,布尔加斯,burgas,BGR000BOJ
GSO,Grad Sofiya,索非亚市,grad sofiya,BGR000GSO
KHO,Khaskovo,卡斯科伏,khaskovo,BGR000KHO
LVP,Lovech,洛维奇,lovech,BGR000LVP
OZA,Montana,蒙塔纳,montana,BGR000OZA
PDV,Plovdiv,普罗夫迪夫,plovdiv,BGR000PDV
ROU,Ruse,鲁塞,ruse,BGR000ROU
SOF,Sofiya,索非亚,sofiya,BGR000SOF
VAR,Varna,瓦尔纳,varna,BGR000VAR
1,Al-Hadd,哈德,al-hadd,BHR000001
2,Al-Muharraq,穆哈拉格,al-muharraq,BHR000002
3,Al-Manamah,麦纳麦,al-manamah,BHR000003
5,Northern,北部,northern,BHR000005
7,Al-Wusta,中部,al-wusta,BHR000007
8,Isa,伊萨城,isa,BHR000008
9,Ar-Rifa,里法,ar-rifa,BHR000009
10,Western,西部,western,BHR000010
12,Hammad,哈马德,hammad,BHR000012
FBP,Bosansko-Podrinjski,波斯尼亚－波德里涅,bosansko-podrinjski,BIH000FBP
FHB,Hercegovacko-Bosanski,西波斯尼亚,hercegovacko-bosanski,BIH000FHB
FHN,Hercegovacko-Neretvanski,黑塞哥维那－涅雷特瓦,hercegovacko-neretvanski,BIH000FHN
FPO,Posavski,波萨维纳,posavski,BIH000FPO
FSA,Sarajevo,萨拉热窝,sarajevo,BIH000FSA
FSB,Srednjo-Bosanski,中波斯尼亚,srednjo-bosanski,BIH000FSB
FTO,Tomislavgrad,多米斯拉夫格勒,tomislavgrad,BIH000FTO
FTU,Tuzlanski-Podrinjski,图兹拉－波德里涅,tuzlanski-podrinjski,BIH000FTU
FUS,Unsko-Sanski,乌纳－萨纳,unsko-sanski,BIH000FUS
FZE,Zenicko-Dobojski,泽尼察－多博伊,zenicko-dobojski,BIH000FZE
FZH,Zapadno-Hercegovaki,西黑塞哥维那,zapadno-hercegovaki,BIH000FZH
BR,Bresckaja,布列斯特,bresckaja,BLR0000BR
HO,Homelskaja,戈梅利,homelskaja,BLR0000HO
HR,Hrodzenskaja,格罗德诺,hrodzenskaja,BLR0000HR
MA,Mahileuskaja,莫吉廖夫,mahileuskaja,BLR0000MA
MI,Minsk,明斯克市,minsk,BLR0000MI
VI,Vicebskaja,维捷布斯克,vicebskaja,BLR0000VI
BZ,Belize,伯利兹,belize,BLZ0000BZ
CR,Corozal,科罗萨尔,corozal,BLZ0000CR
CY,Cayo,卡约,cayo,BLZ0000CY
OW,Orange Walk,橘园,orange walk,BLZ0000OW
SC,Stann Creek,斯坦港,stann creek,BLZ0000SC
TO,Toledo,托莱多,toledo,BLZ0000TO
ALT,El Alto,奥尔托,el alto,BOL000ALT
BEN,El Beni,贝尼,el beni,BOL000BEN
CBB,Cochabamba,科恰班巴,cochabamba,BOL000CBB
CHU,Chuquisaca,丘基萨卡,chuquisaca,BOL000CHU
LPB,La Paz,拉巴斯,la paz,BOL000LPB
ORU,Oruro,奥鲁罗,oruro,BOL000ORU
PAN,Pando,潘多,pando,BOL000PAN
POI,Potosi,波多西,potosi,BOL000POI
QUI,Quillacollo,基拉科洛,quillacollo,BOL000QUI
SAC,Sacaba,萨卡巴,sacaba,BOL000SAC
SRZ,Santa Cruz,圣克鲁斯,santa cruz,BOL000SRZ
TJA,Tarija,塔里哈,tarija,BOL000TJA
AC,Acre,阿克里,acre,BRA0000AC
AL,Alagoas,阿拉戈斯,alagoas,BRA0000AL
AM,Amazonas,亚马孙,amazonas,BRA0000AM
AP,Amapa,阿马帕,amapa,BRA0000AP
BA,Bahia,巴伊亚,bahia,BRA0000BA
CE,Ceara,塞阿拉,ceara,BRA0000CE
ES,Espirito Santo,圣埃斯皮里图,espirito santo,BRA0000ES
GO,Goias,戈亚斯,goias,BRA0000GO
MA,Maranhao,马拉尼昂,maranhao,BRA0000MA
MG,Minas Gerais,米纳斯吉拉斯,minas gerais,BRA0000MG
MS,Mato Grosso do Sul,南马托格罗索,mato grosso do sul,BRA0000MS
MT,Mato Grosso,马托格罗索,mato grosso,BRA0000MT
PA,Para,帕拉,para,BRA0000PA
PB,Paraiba,帕拉伊巴,paraiba,BRA0000PB
PE,Pernambuco,伯南布哥,pernambuco,BRA0000PE
PI,Piaui,皮奥伊,piaui,BRA0000PI
PR,Parana,巴拉那,parana,BRA0000PR
RJ,Rio de Janeiro,里约热内卢,rio de janeiro,BRA0000RJ
RN,Rio Grande do Norte,北里奥格兰德,rio grande do norte,BRA0000RN
RO,Rondonia,朗多尼亚,rondonia,BRA0000RO
RR,Roraima,罗赖马,roraima,BRA0000RR
RS,Rio Grande do Sul,南里奥格兰德,rio grande do sul,BRA0000RS
SC,Santa Catarina,圣卡塔琳娜,santa catarina,BRA0000SC
SE,Sergipe,塞尔希培,sergipe,BRA0000SE
SP,Sao Paulo,圣保罗,sao paulo,BRA0000SP
TO,Tocantins,托坎廷斯,tocantins,BRA0000TO
BSB,Brasilia,巴西利亚,brasilia,BRA000BSB
AC,Ouham,瓦姆,ouham,CAF0000AC
BB,Bamingui-Bangoran,巴明吉-班戈兰,bamingui-bangoran,CAF0000BB
BI,Bimbo,宾博,bimbo,CAF0000BI
BK,Basse-Kotto,下科托,basse-kotto,CAF0000BK
HK,Haute-Kotto,上科托,haute-kotto,CAF0000HK
HM,Haut-Mbomou,上姆博穆,haut-mbomou,CAF0000HM
HS,Mambere-Kadei,曼贝雷-卡代,mambere-kadei,CAF0000HS
KB,Nana-Gribizi,纳纳-格里比齐,nana-gribizi,CAF0000KB
KG,Kemo,凯莫,kemo,CAF0000KG
LB,Lobaye,洛巴伊,lobaye,CAF0000LB
MB,Mbomou,姆博穆,mbomou,CAF0000MB
MP,Ombella-Mpoko,翁贝拉-姆波科,ombella-mpoko,CAF0000MP
NM,Nana-Mambere,纳纳-曼贝雷,nana-mambere,CAF0000NM
OP,Ouham-Pende,瓦姆-彭代,ouham-pende,CAF0000OP
SE,Sangha-Mbaere,桑加-姆巴埃雷,sangha-mbaere,CAF0000SE
UK,Ouaka,瓦卡,ouaka,CAF0000UK
VK,Vakaga,瓦卡加,vakaga,CAF0000VK
BGF,Bangui,班吉直辖市,bangui,CAF000BGF
ABB,Abbotsford,阿伯茨福,abbotsford,CAN000ABB
BAR,Barrie,巴里,barrie,CAN000BAR
BRP,Brampton,基奇纳,brampton,CAN000BRP
CAL,Calgary,卡里加里,calgary,CAN000CAL
CBR,Cape Breton,布列塔尼角,cape breton,CAN000CBR
CHA,Charlottetown,夏洛特敦,charlottetown,CAN000CHA
EDM,Edmonton,埃德蒙顿,edmonton,CAN000EDM
FRE,Fredericton,弗雷德里顿,fredericton,CAN000FRE
GLP,Guelph,圭尔夫,guelph,CAN000GLP
HAL,Halifax,哈利法克斯,halifax,CAN000HAL
HAM,Hamilton,哈密尔顿,hamilton,CAN000HAM
IQL,Iqaluit,伊魁特,iqaluit,CAN000IQL
KGN,Kingston,金斯敦,kingston,CAN000KGN
KWL,Kelowna,基劳纳,kelowna,CAN000KWL
LOD,London,伦敦,london,CAN000LOD
MTR,Montreal,蒙特利尔,montreal,CAN000MTR
OSH,Oshawa,奥沙瓦,oshawa,CAN000OSH
OTT,Ottawa,渥太华,ottawa,CAN000OTT
QUE,Quebec,魁北克,quebec,CAN000QUE
REG,Regina,里贾纳,regina,CAN000REG
SAK,Saskatoon,萨斯卡通,saskatoon,CAN000SAK
SBE,Sherbrooke,舍布鲁克,sherbrooke,CAN000SBE
SCA,Santa Catarina,圣卡塔琳娜,santa catarina,CAN000SCA
SJB,Saint-John's,圣约翰斯,saint-john's,CAN000SJB
SUD,Sudbury,萨德伯里,sudbury,CAN000SUD
THU,Thunder Bay,桑德贝,thunder bay,CAN000THU
TOR,Toronto,多伦多,toronto,CAN000TOR
TRR,Trois-Rivieres,三河城,trois-rivieres,CAN000TRR
VAN,Vancouver,温哥华,vancouver,CAN000VAN
VIC,Victoria,维多利亚,victoria,CAN000VIC
WDR,Windsor,温莎,windsor,CAN000WDR
WNP,Winnipeg,温尼伯,winnipeg,CAN000WNP
YXY,Whitehorse,怀特霍斯,whitehorse,CAN000YXY
YZF,Yellowknife,耶洛奈夫,yellowknife,CAN000YZF
AG,Aargau,阿尔高,aargau,CHE0000AG
AI,Appenzell Innerrhodn,内阿彭策尔,appenzell innerrhodn,CHE0000AI
AR,Appenzell Ausserrhon,外阿彭策尔,appenzell ausserrhon,CHE0000AR
BE,Bern,伯尔尼,bern,CHE0000BE
BL,Basel Landschaft,巴塞尔乡村,basel landschaft,CHE0000BL
BS,Basel－Sstadt,巴塞尔城市,basel－sstadt,CHE0000BS
FR,Freiburg,弗里堡,freiburg,CHE0000FR
GE,Geneve,日内瓦,geneve,CHE0000GE
GL,Glarus,格拉鲁斯,glarus,CHE0000GL
GR,Graubünden,格劳宾登,graubünden,CHE0000GR
JU,Jura,汝拉,jura,CHE0000JU
LA,Lausanne,洛桑,lausanne,CHE0000LA
LU,Luzern,卢塞恩,luzern,CHE0000LU
NE,Neuchatel,纳沙泰尔,neuchatel,CHE0000NE
NW,Nidwalden,下瓦尔登,nidwalden,CHE0000NW
OW,Obwalden,上瓦尔登,obwalden,CHE0000OW
SG,St.Gallen,圣加仑,st.gallen,CHE0000SG
SH,Schaffhausen,沙夫豪森,schaffhausen,CHE0000SH
SO,Solothurn,索洛图恩,solothurn,CHE0000SO
SZ,Schwyz,施维茨,schwyz,CHE0000SZ
TG,Thurgau,图尔高,thurgau,CHE0000TG
TI,Ticino,提契诺,ticino,CHE0000TI
UR,Uri,乌里,uri,CHE0000UR
VD,Vaud,沃,vaud,CHE0000VD
VS,Wallis,瓦莱,wallis,CHE0000VS
ZG,Zug,楚格,zug,CHE0000ZG
ZH,Zurich,苏黎世,zurich,CHE0000ZH
AI,Region de Alsen del General Carlos Ibanez del,伊瓦涅斯将军的艾森大区,region de alsen del general carlos ibanez del,CHL0000AI
AN,Region de Antofagasta,安托法加斯塔大区,region de antofagasta,CHL0000AN
AR,Region de la Araucania,阿劳卡尼亚大区,region de la araucania,CHL0000AR
AT,Region de Atacama,阿塔卡马大区,region de atacama,CHL0000AT
BI,Region del Biobio,比奥比奥大区,region del biobio,CHL0000BI
CO,Region de Coquimbo,科金博大区,region de coquimbo,CHL0000CO
LI,Libertador,复活节岛,libertador,CHL0000LI
LL,Region de los Lagos,湖大区,region de los lagos,CHL0000LL
MA,Magallanes y Antartica Chilena,麦哲伦-智利南极大区,magallanes y antartica chilena,CHL0000MA
ML,Region del Maule,马乌莱大区,region del maule,CHL0000ML
RM,Santiago de Cuba,圣地亚哥,santiago de cuba,CHL0000RM
TA,Region de Tarapaca,塔拉帕卡大区,region de tarapaca,CHL0000TA
VS,Region de Valparaiso,瓦尔帕莱索大区,region de valparaiso,CHL0000VS
1,Dongcheng,东城,dongcheng,CHN011001
2,Xicheng,西城,xicheng,CHN011002
5,Chaoyang,朝阳,chaoyang,CHN011005
6,Fengtai,丰台,fengtai,CHN011006
7,Shijingshan,石景山,shijingshan,CHN011007
8,Haidian,海淀,haidian,CHN011008
9,Mentougou,门头沟,mentougou,CHN011009
11,Fangshan,房山,fangshan,CHN011011
12,Tongzhou,通州,tongzhou,CHN011012
13,Shunyi,顺义,shunyi,CHN011013
21,Changping,昌平,changping,CHN011021
24,Daxing,大兴,daxing,CHN011024
26,Pinggu,平谷,pinggu,CHN011026
27,Huairou,怀柔,huairou,CHN011027
28,Miyun,密云,miyun,CHN011028
29,Yanqing,延庆,yanqing,CHN011029
1,Heping,和平,heping,CHN012001
2,Hedong,河东,hedong,CHN012002
3,Hexi,河西,hexi,CHN012003
4,Nankai,南开,nankai,CHN012004
5,Hebei,河北,hebei,CHN012005
6,Hongqiao,红桥,hongqiao,CHN012006
10,Dongli,东丽,dongli,CHN012010
11,Xiqing,西青,xiqing,CHN012011
12,Jinnan,津南,jinnan,CHN012012
13,Beichen,北辰,beichen,CHN012013
21,Ninghe,宁河,ninghe,CHN012021
22,Wuqing,武清,wuqing,CHN012022
23,Jinghai,静海,jinghai,CHN012023
24,Baodi,宝坻,baodi,CHN012024
25,Jixian,蓟县,jixian,CHN012025
26,Binghaixinqu,滨海新区,binghaixinqu,CHN012026
1,Shijiazhuang,石家庄,shijiazhuang,CHN013001
2,Tangshan,唐山,tangshan,CHN013002
3,Qinhuangdao,秦皇岛,qinhuangdao,CHN013003
4,Handan,邯郸,handan,CHN013004
5,Xingtai,邢台,xingtai,CHN013005
6,Baoding,保定,baoding,CHN013006
7,Zhangjiakou,张家口,zhangjiakou,CHN013007
8,Chengde,承德,chengde,CHN013008
9,Cangzhou,沧州,cangzhou,CHN013009
10,Langfang,廊坊,langfang,CHN013010
11,Hengshui,衡水,hengshui,CHN013011
1,Taiyuan,太原,taiyuan,CHN014001
2,Datong,大同,datong,CHN014002
3,Yangquan,阳泉,yangquan,CHN014003
4,Changzhi,长治,changzhi,CHN014004
5,Jincheng,晋城,jincheng,CHN014005
